한글명,영문명(INCI),CAS번호,카테고리,주요기능,출처/설명,이명,데이터출처
알지닌/라이신폴리펩타이드,Arginine/Lysine Polypeptide,,식약처 등재,,이 원료는 알지닌과 라이신 잔기를 함유하는 폴리펩타이드이다.,,B (식약처)
알지닌에이치씨엘,Arginine HCl,,식약처 등재,,이 원료는 다음의 구조를 갖는 아미노산염이다.,,B (식약처)
알지닌코코에이트,Arginine Cocoate,,식약처 등재,,이 원료는 코코넛애씨드의 알지닌염이다.,,B (식약처)
꿀풀잎추출물,Prunella Vulgaris Leaf Extract,,식약처 등재,,이 원료는 꿀풀 Prunella vulgaris의 잎에서 추출한 것이다.,,B (식약처)
알지닌페룰레이트,Arginine Ferulate,,식약처 등재,,이 원료는 페룰릭애씨드의 알지닌염이다.,,B (식약처)
알지닌피씨에이,Arginine PCA,,식약처 등재,,이 원료는 피씨에이의 알지닌염이다.,,B (식약처)
알진,Algin,,식약처 등재,,이 원료는 알기닉애씨드의 소듐염이다.,,B (식약처)
C18-21알케인,C18-21 Alkane,,식약처 등재,,이 원료는 탄소 18-21개인 알킬사슬을 갖은 알케인의 혼합물이다.,C18-21알칸,B (식약처)
C10-12알케인/사이클로알케인,C10-12 Alkane/Cycloalkane,,식약처 등재,,이 원료는 탄소 10-12개 직사슬과 고리형 탄화수소의 혼합물이다.,C10-12알칸/사이클로알칸,B (식약처)
알칸나뿌리추출물,Alkanna Tinctoria Root Extract,,식약처 등재,,이 원료는 알칸나 (Alkanna tinctoria)의 뿌리에서 추출한 것이다.,,B (식약처)
알칼리게네스폴리사카라이드,Alcaligenes Polysaccharides,,식약처 등재,,이 원료는 Alcaligenes latus의 세균 배양에서 얻은 폴리사카라이드이다.,,B (식약처)
C12-15알코올,C12-15 Alcohols,,식약처 등재,,이 원료는 탄소 12-15개인 알킬 사슬을 갖는 합성 지방족알코올 혼합물이다.,,B (식약처)
C12-16알코올,C12-16 Alcohols,,식약처 등재,,이 원료는 탄소 12-16개인 알킬 사슬을 갖는 합성 지방알코올의 혼합물이다.,,B (식약처)
C14-22알코올,C14-22 Alcohols,,식약처 등재,,이 원료는 탄소 14-22개인 알킬 사슬을 갖는 합성 지방알코올의 혼합물이다.,,B (식약처)
끈끈이주걱추출물,Drosera Rotundifolia Extract,,식약처 등재,,이 원료는 끈끈이주걱 Drosera Rotundifolia의 전초에서 추출한 것이다.,,B (식약처)
C20-22알코올,C20-22 Alcohols,,식약처 등재,,이 원료는 탄소 20-22개인 알킬 사슬을 갖는 합성 지방알코올의 혼합물이다.,,B (식약처)
C20-40알코올,C20-40 Alcohols,,식약처 등재,,이 원료는 탄소 20-40개인 알킬 사슬을 갖는 합성 지방 알코올의 혼합물이다.,,B (식약처)
C30-50알코올,C30-50 Alcohols,,식약처 등재,,이 원료는 탄소 30-50개인 알킬 사슬을 갖는 합성 지방알코올의 혼합물이다.,,B (식약처)
C40-60알코올,C40-60 Alcohols,,식약처 등재,,이 원료는 탄소 40-60개인 알킬 사슬을 갖는 합성 지방알코올의 혼합물이다.,,B (식약처)
알클록사,Alcloxa,,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
C1-5알킬갈락토만난,C1-5 Alkyl Galactomannan,,식약처 등재,,이 원료는 C1-5 알킬기를 접목한 갈락토만논 다당류이다.,,B (식약처)
C12-20알킬글루코사이드,C12-20 Alkyl Glucoside,,식약처 등재,,이 원료는 C12-20 알코올과 글루코스의 축합반응물이다.,,B (식약처)
C20-24알킬다이메티콘,C20-24 Alkyl Dimethicone,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 실록세인 중합체이다. R은 C20-24의 알킬 그룹이다.,C20-24알킬디메치콘,B (식약처)
C24-28알킬다이메티콘,C24-28 Alkyl Dimethicone,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 실록세인 중합체이다. R은 C24-28의 알킬 그룹이다.,C24-28알킬디메치콘,B (식약처)
C26-28알킬다이메티콘,C26-28 Alkyl Dimethicone,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 실록세인 중합체이다. R은 C26-28의 알킬 그룹이다.,C26-28알킬디메치콘,B (식약처)
나무이끼추출물,Evernia Furfuracea (Treemoss) Extract,,식약처 등재,,이 원료는 나무이끼(Treemoss) Evernia Furfuracea의 전초에서 추출한 것이다.,,B (식약처)
C30-45알킬다이메티콘,C30-45 Alkyl Dimethicone,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 실록세인 중합체이다. R은 C30-45의 알킬 그룹이다.,C30-45알킬디메치콘,B (식약처)
C30-45알킬다이메티콘/폴리사이클로헥센옥사이드크로스폴리머,C30-45 Alkyl Dimethicone/Polycyclohexene Oxide Crosspolymer,,식약처 등재,,이 원료는 비닐사이클로헥센옥사이드로 만든 폴리에터로 가교된 C30-45 알킬다이메티콘이다.,C30-45알킬디메치콘/폴리사이클로헥센옥사이드크로스폴리머,B (식약처)
C12-13알킬락테이트,C12-13 Alkyl Lactate,,식약처 등재,,이 원료는 주로 C12-13알코올과 락틱애씨드의 에스터이다.,,B (식약처)
C12-15알킬락테이트,C12-15 Alkyl Lactate,,식약처 등재,,이 원료는 주로 락틱애씨드와 C12-15알코올의 에스터이다. R은 C12-15의 알킬 그룹이다.,,B (식약처)
C20-24알킬메티콘,C20-24 Alkyl Methicone,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 실록세인 중합체이다. R은 C20-24의 알킬 그룹이다.,C20-24알킬메치콘,B (식약처)
C24-28알킬메티콘,C24-28 Alkyl Methicone,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 살록세인 중합체이다. R은 C24-28의 알킬 그룹이다.,C24-28알킬메치콘,B (식약처)
C30-45알킬메티콘,C30-45 Alkyl Methicone,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 실록세인 중합체이다. R은 C30-45의 알킬 그룹이다.,C30-45알킬메치콘,B (식약처)
C12-15알킬벤조에이트,C12-15 Alkyl Benzoate,,식약처 등재,,이 원료는 벤조익애씨드와 C12-15알코올의 에스터이다. R은 C12-15의 알킬 그룹이다.,,B (식약처)
C30-45알킬세테아릴다이메티콘크로스폴리머,C30-45 Alkyl Cetearyl Dimethicone Crosspolymer,,식약처 등재,,이 원료는 비닐사이클로헥센옥사이드와 가교된 C30-45 알킬세테아릴다이메티콘의 공중합체이다.,C30-45알킬세테아릴디메치콘크로스폴리머,B (식약처)
C14-28알킬애씨드,C14-28 Alkyl Acid,,식약처 등재,,이 원료는 탄소 14-28개인 알킬사슬을 갖는 포화지방산의 혼합물이다.,,B (식약처)
나문재추출물,Suaeda Asparagoides Extract,,식약처 등재,,이 원료는 나문재 Suaeda asparagoides의 전초에서 추출한 것이다.,,B (식약처)
C12-13알킬에틸헥사노에이트,C12-13 Alkyl Ethylhexanoate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 C12-13 알코올과 2-에틸헥사노익애씨드의 에스터이다. R은 C12-13의 알킬 그룹이다.,C12-13알킬에칠헥사노에이트,B (식약처)
