한글명,영문명(INCI),CAS번호,카테고리,주요기능,출처/설명,이명,데이터출처
가공소금,,,식약처 등재,,,,B (식약처)
가지열매추출물,Solanum Melongena (Eggplant) Fruit Extract,84012-19-1,식약처 등재,,이 원료는 가지(Eggplant) Solanum melongena의 열매에서 추출한 것이다.,가지추출물,B (식약처)
구멍쇠미역추출물,Agarum Cribrosum Extract,,식약처 등재,,이 원료는 조류의 일종인 구멍쇠미역 Agarum cribosum에서 추출한 것이다.,,B (식약처)
루핀아미노산,Lupine Amino Acids,,식약처 등재,,이 원료는 루핀 단백질의 완전 가수분해로 얻은 아미노산의 혼합물이다.,,B (식약처)
류신,Leucine,"328-39-2(DL-),61-90-5(L-)",식약처 등재,,이 원료는 다음의 구조를 갖는 아미노산이다.,,B (식약처)
류코노스톡/무발효여과물,Leuconostoc/Radish Root Ferment Filtrate,,식약처 등재,,이 원료는 미생물의 일종인 Leuconostoc으로 무 Raphanus sativus의 뿌리를 발효하여 여과한 것이다.,,B (식약처)
백혈구추출물,Leukocyte Extract,,식약처 등재,,이 원료는 백혈구에서 추출한 것이다.,류코사이트추출물,B (식약처)
리나칸투스 콤무니스추출물,Rhinacanthus Communis Extract,,식약처 등재,,이 원료는 Rhinacanthus communis의 전초에서 추출한 것이다.,,B (식약처)
리날룰,Linalool,78-70-6,식약처 등재,,이 원료는 다음의 구조를 갖는 터펜이다.,,B (식약처)
리날릴아세테이트,Linalyl Acetate,115-95-7,식약처 등재,,이 원료는 다음의 구조를 갖는 리날로올과 아세틱애씨드의 에스터이다.,,B (식약처)
리놀레닉애씨드,Linolenic Acid,463-40-1,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 불포화 지방산이다.,,B (식약처)
리놀레아마이드엠이에이,Linoleamide MEA,"10015-67-5,68171-52-8",식약처 등재,,이 원료는 리놀레익애씨드의 에탄올아마이드 혼합물이다.,,B (식약처)
구상나무잎가루,Abies Koreana Leaf Powder,,식약처 등재,,이 원료는 구상나무 Abies koreana의 잎을 건조하여 가루로 한 것이다.,,B (식약처)
리놀레아미도프로필다이메틸아민다이머다이리놀리에이트,Linoleamidopropyl Dimethylamine Dimer Dilinoleate,125804-10-6,식약처 등재,,이 원료는 리놀레익애씨드 다이머와 리놀레아미도프로필다이메틸아민의 염이다.,리놀레아미도프로필디메칠아민다이머디리놀리에이트,B (식약처)
리놀레아미도프로필에틸다이모늄에토설페이트,Linoleamidopropyl Ethyldimonium Ethosulfate,99542-23-1,식약처 등재,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,리놀레아미도프로필에칠디모늄에토설페이트,B (식약처)
리놀레아미도프로필피지-다이모늄클로라이드포스페이트,Linoleamidopropyl PG-Dimonium Chloride Phosphate,,식약처 등재,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다. RCO-는 리놀레익 애씨드 라디칼을 대표한다.,리놀레아미도프로필피지-디모늄클로라이드포스페이트,B (식약처)
리놀레아미도프로필피지-다이모늄클로라이드포스페이트다이메티콘,Linoleamidopropyl PG-Dimonium Chloride Phosphate Dimethicone,179005-04-0,식약처 등재,,이 원료는 리놀레아미도프로필피지-다이모늄클로라이드포스페이트와 다이메티콘의 반응으로 얻은 물질이다.,리놀레아미도프로필피지-디모늄클로라이드포스페이트디메치콘,B (식약처)
리놀레익애씨드,Linoleic Acid,"342889-37-6 	,60-33-3",식약처 등재,,이 원료는 주로 다음의 구조를 갖는 불포화 지방산이다.,,B (식약처)
리마콩씨추출물,Phaseolus Lunatus (Green Bean) Seed Extract,85085-22-9,식약처 등재,,이 원료는 리마콩(Gren Bean) Phaseolus Lunatus의 씨에서 추출한 것이다.,리마콩추출물,B (식약처)
리모넨,Limonene,"68647-72-3 (generic),5989-27-5(D-),7705-13-7(D-),138-86-3 (DL-)",식약처 등재,,"이 원료는 d-리모넨, l-리모넨 또는 (라세믹) dl-리모넨 가운데 한 개 이상의 입체이성체로 이루어진 터펜이다.",,B (식약처)
리모니아 아키디시마목부가루,Limonia Acidissima Wood Powder,,식약처 등재,,이 원료는 Limonia acidissima의 목부를 건조하여 가루로 한 것이다.,리모니아 아시디씨마나무가루,B (식약처)
리보플라빈,"Riboflavin,Lactoflavin",83-88-5,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
구상나무잎추출물,Abies Koreana Leaf Extract,,식약처 등재,,이 원료는 구상나무 Abies koreana의 잎에서 추출한 것이다.,,B (식약처)
리씨열매오일,Litsea Cubeba Fruit Oil,68855-99-2,식약처 등재,,이 원료는 리씨 Litsea cubeba 열매에서 추출한 휘발성 오일이다.,,B (식약처)
리치과피추출물,Litchi Chinensis Pericarp Extract,91722-81-5,식약처 등재,,이 원료는 리치 Litchi chinensis과피의 추출물이다.,,B (식약처)
리치씨추출물,Litchi Chinensis Seed Extract,,식약처 등재,,이 원료는 리치 Litchi chinensis의 씨에서 추출한 것이다.,,B (식약처)
리치추출물,Litchi Chinensis Fruit Extract,,식약처 등재,,이 원료는 리치 Litchi chinensis의 열매에서 추출한 것이다.,"리치열매추출물,여지열매추출물",B (식약처)
리토탐니온 칼카룸가루,Lithothamnion Calcareum Powder,,식약처 등재,,이 원료는 홍조류의 일종인 Lithothamnion calcareum(=Phymatolithon calcareum)을 건조하여 가루로 한 것이다.,리토탐니움 칼카룸가루,B (식약처)
리튬마그네슘소듐실리케이트,Lithium Magnesium Sodium Silicate,53320-86-8,식약처 등재,,"이 원료는 주로 리튬, 마그네슘 및 소듐실리케이트로 구성된 합성규산염 점토 물질이다.",,B (식약처)
리튬스테아레이트,Lithium Stearate,12/5/85,식약처 등재,,이 원료는 다음의 구조를 갖는 스테아릭애씨드의 리튬염이다.,,B (식약처)
글루티너스리트세아나무껍질추출물,Litsea Glutinosa Bark Extract,,식약처 등재,,이 원료는 글루티너스리트세아 Litsea glutinosa의 나무껍질에서 추출한 것이다.,,B (식약처)
리파아제,Lipase,9001-62-1,식약처 등재,,이 원료는 트라이글리세라이드를 가수분해하는 효소이다.,,B (식약처)
리피아 시도이데스잎오일,Lippia Sidoides Leaf Oil,,식약처 등재,,이 원료는 Lippia sidoides의 잎에서 얻은 휘발성 오일이다.,,B (식약처)
구아검,Cyamopsis Tetragonoloba (Guar) Gum,9000-30-0,식약처 등재,,이 원료는 구아(Guar) Cyamopsis tetragonoloba의 분쇄한 내배유에서 얻은 수지성 물질이다.,,B (식약처)
유럽피나무꽃추출물,Tilia Europaea Flower Extract,,식약처 등재,,이 원료는 유럽피나무 Tilia europaea의 꽃에서 추출한 것이다.,린덴꽃추출물,B (식약처)
마가목추출물,Sorbus Commixta Extract,,식약처 등재,,이 원료는 마가목 Sorbis commixta의 전초에서 추출한 것이다.,,B (식약처)
마그네슘글루코네이트,Magnesium Gluconate,3632-91-5,식약처 등재,,이 원료는 다음의 구조를 갖는 글루코닉애씨드의 마그네슘염이다.,,B (식약처)
마그네슘나이트레이트,Magnesium Nitrate,10377-60-3,식약처 등재,,이 원료는 다음의 구조를 갖는 무기염이다.,,B (식약처)
마그네슘라우레스-8설페이트,Magnesium Laureth-8 Sulfate,62755-21-9(generic),식약처 등재,,이 원료는 다음의 구조를 갖는 라우레스-8의 설퓨릭애씨드 에스터의 마그네슘염이다 : n 은 평균8의 값을 갖는다.,,B (식약처)
마그네슘라우레스설페이트,Magnesium Laureth Sulfate,62755-21-9(generic),식약처 등재,,이 원료는 주로 다음의 구조를 갖는 에톡실화 된 라우릴설페이트의 마그네슘염이다. : n은 주로 1과 4 사이의 값을 갖는다.,,B (식약처)
마그네슘라우릴설페이트,Magnesium Lauryl Sulfate,8/3/97,식약처 등재,,이 원료는 다음의 구조를 갖는 라우릴설페이트의 마그네슘염이다.,,B (식약처)
마그네슘락테이트,Magnesium Lactate,18917-93-6,식약처 등재,,이 원료는 다음의 구조를 갖는 락틱애씨드 이다.,,B (식약처)
마그네슘미리스테이트,Magnesium Myristate,4086-70-8,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 미리스틱애씨드의 마그네슘염이다.,,B (식약처)
마그네슘살리실레이트,Magnesium Salicylate,"551-37-1,18917-89-0",식약처 등재,,이 원료는 다음의 구조를 갖는 살리실릭애씨드의 마그네슘염이다.,,B (식약처)
구아노신,Guanosine,118-00-3,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
마그네슘설페이트,Magnesium Sulfate,"10034-99-8(heptahydrate),18939-43-0,7487-88-9",식약처 등재,,이 원료는 다음의 구조를 갖는 무기염이다.,,B (식약처)
마그네슘스테아레이트,Magnesium Stearate,557-04-0,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 스테아릭애씨드의 마그네슘염이다.,,B (식약처)
마그네슘시트레이트,Magnesium Citrate,"7779-25-1,6150-79-4,144-23-0",식약처 등재,,이 원료는 시트릭애씨드의 마그네슘염이다.,,B (식약처)
마그네슘실리케이트,Magnesium Silicate,1343-88-0,식약처 등재,,이 원료는 주로 다음의 구조로 이루어진 다양한 조성의 무기염이다.,,B (식약처)
마그네슘아세테이트,Magnesium Acetate,"16674-78-5(hydrate),142-72-3",식약처 등재,,이 원료는 다음의 구조를 갖는 아세틱애씨드의 마그네슘 염이다.,,B (식약처)
마그네슘아스코빌포스페이트,Magnesium Ascorbyl Phosphate,"113170-55-1,114040-31-2",식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
마그네슘아스파테이트,Magnesium Aspartate,"1187-91-3 (DL-),18962-61-3 (L-),2068-80-6 (L-),52101-01-6 (DL-)",식약처 등재,,이 원료는 다음의 구조를 갖는 아스파틱애씨드의 마그네슘염이다.,,B (식약처)
마그네슘알루미늄실리케이트,Magnesium Aluminum Silicate,"12199-37-0,12511-31-8",식약처 등재,,이 원료는 천연에 존재하는 미네랄에서 정제한 복합실리케이트이다.,,B (식약처)
마그네슘옥사이드,Magnesium Oxide,1309-48-4,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 무기산화물이다.,,B (식약처)
마그네슘올레스설페이트,Magnesium Oleth Sulfate,87569-97-9,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 황산화 및 에톡실화 된 올레일알코올의 마그네슘염이다. :n은 평균 1과 4사이의 값을 갖는다.,,B (식약처)
구아니딘카보네이트,Guanidine Carbonate,"593-85-1,100224-74-6",식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
마그네슘카보네이트,"Magnesium Carbonate,CI 77713","546-93-0,7757-69-9",식약처 등재,,이 원료는 기본 탈수 마그네슘카보네이트 또는 일반 수화 마그네슘카보네이트이다.,,B (식약처)
마그네슘카보네이트하이드록사이드,Magnesium Carbonate Hydroxide,"7760-50-1,39409-82-0,12125-28-9",식약처 등재,,이 원료는 다음의 구조를 갖는 무기카보네이트이다.,,B (식약처)
마그네슘클로라이드,Magnesium Chloride,"7786-30-3,7791-18-6(hydrate)",식약처 등재,,이 원료는 다음의 구조를 갖는 무기염이다.,,B (식약처)
마그네슘트라이실리케이트,Magnesium Trisilicate,14987-04-3,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 무기화합물이다.,마그네슘트리실리케이트,B (식약처)
마그네슘팔미토일글루타메이트,Magnesium Palmitoyl Glutamate,57539-47-6,식약처 등재,,이 원료는 다음의 구조를 갖는 치환된 아미노산이다.,,B (식약처)
마그네슘/포타슘/실리콘/플루오라이드/하이드록사이드/옥사이드,Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide,,식약처 등재,,이 원료는 포타슘실리코플루오라이드와 가열한 탈크에서 얻은 물질이다.,,B (식약처)
마그네슘포타슘플루오로실리케이트,Magnesium Potassium Fluorosilicate,,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 무기염이다.,,B (식약처)
마그네슘피씨에이,Magnesium PCA,5819-47-6,식약처 등재,,이 원료는 다음의 구조를 갖는 피롤리딘카복실릭애씨드(PCA)의 마그네슘염이다.,,B (식약처)
마그네슘하이드록사이드,Magnesium Hydroxide,1309-42-8,식약처 등재,,이 원료는 다음의 구조를 갖는 무기염이다.,,B (식약처)
황목련꽃추출물,Magnolia Acuminata Flower Extract,,식약처 등재,,이 원료는 황목련 Magnolia acuminata의 꽃에서 추출한 것이다.,마그놀리아꽃추출물,B (식약처)
구아닌,"Guanine,CI 75170",73-40-5,식약처 등재,,이 원료는 다음의 구조를 갖는 천연 퓨린이다.,,B (식약처)
마누카가지/잎오일,Leptospermum Scoparium Branch/Leaf Oil,"223749-44-8,219828-87-2",식약처 등재,,이 원료는 마누카Leptospermum scoparium의 잎과 가지에서 얻은 휘발성 오일이다.,,B (식약처)
마늘추출물,Allium Sativum (Garlic) Bulb Extract,8008-99-9,식약처 등재,,이 원료는 마늘(Garlic) Allium sativum의 비늘줄기에서 추출한 것이다.,,B (식약처)
마데카소사이드,Madecassoside,34540-22-2,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
마데카식애씨드,Madecassic Acid,18449-41-7,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
마돈나백합꽃수,Lilium Candidum Flower Water,,식약처 등재,,이 원료는 마돈나백합 Lilium candidum의 꽃을 수증기 증류하여 얻은 수용액이다.,,B (식약처)
마돈나백합꽃추출물,Lilium Candidum Flower Extract,,식약처 등재,,이 원료는 마돈나백합 Lilium candidum의 꽃에서 추출한 것이다.,,B (식약처)
마돈나백합비늘줄기추출물,Lilium Candidum Bulb Extract,84776-67-0,식약처 등재,,이 원료는 마돈나백합 Lilium candidum의 비늘줄기에서 추출한 것이다.,,B (식약처)
가시칠엽수껍질추출물,Aesculus Hippocastanum (Horse Chestnut) Bark Extract,,식약처 등재,,이 원료는 가시칠엽수(Horse Chestnut) Aesculus hippocastanum의 나무껍질에서 추출한 것이다.,마로니에껍질추출물,B (식약처)
가시칠엽수씨추출물,Aesculus Hippocastanum (Horse Chestnut) Seed Extract,8053-39-2,식약처 등재,,이 원료는 가시칠엽수(Horse Chestnut) Aesculus hippocastanum의 씨에서 추출한 것이다.,마로니에씨추출물,B (식약처)
마뿌리추출물,"Dioscorea Oppositifolia (Wild Yam) Root Extract,Dioscorea Opposita (Wild Yam) Root Extract",,식약처 등재,,이 원료는 마(Wild Yam) Dioscorea Oppositifolia의 뿌리에서 추출한 것이다.,,B (식약처)
구아바잎추출물,Psidium Guajava Leaf Extract,"90045-46-8,91770-12-6 (generic)",식약처 등재,,이 원료는 구아바 Psidium guajava의 잎에서 추출한 것이다.,,B (식약처)
마시멜로뿌리,Althaea Officinalis Root,,식약처 등재,,이 원료는 마시멜로 Althaea officinalis의 뿌리이다.,,B (식약처)
마시멜로뿌리추출물,Althaea Officinalis Root Extract,73049-65-7,식약처 등재,,이 원료는 마시멜로 Althaea officinalis의 뿌리에서 추출한 것이다.,,B (식약처)
마시멜로잎/뿌리추출물,Althaea Officinalis Leaf/Root Extract,,식약처 등재,,이 원료는 마시멜로 Althaea officinalis의 마른잎 및 뿌리에서 추출한 것이다.,,B (식약처)
마시멜로잎추출물,Althaea Officinalis Leaf Extract,,식약처 등재,,이 원료는 마시멜로 Althaea officinalis의 잎에서 추출한 것이다.,,B (식약처)
마이카,"Mica,CI 77019",12001-26-2,식약처 등재,,이 원료는 다양한 화학 조성이지만 유사한 물리적 특성을 가진 일련의 실리케이트미네랄이다.,,B (식약처)
마이크로코쿠스용해물,Micrococcus Lysate,158765-79-8,식약처 등재,,이 원료는 마이크로코쿠스 Microccocus luteus 균류의 발효로 얻은 생성물을 용해 한 것이다.,,B (식약처)
마이크로크리스탈린셀룰로오스,Microcrystalline Cellulose,9004-34-6,식약처 등재,,이 원료는 셀룰로오스 섬유의 분리된 아교질의 결정성 부분이다.,,B (식약처)
마이크로크리스탈린왁스,"Microcrystalline Wax,Cera Microcristallina",63231-60-7,식약처 등재,,이 원료는 석유에서 유래한 왁스로 파라핀 왁스의 큰 결정과는 반대로 미세한 결정의 특징이 있다. 이 원료는 고분자량의 포화지방족 탄화수소로 이루어져 있다.,세라마이크로크리스탈리나,B (식약처)
삼씨오일,Cannabis Sativa Seed Oil,8016-24-8,식약처 등재,,"이 원료는 삼 Cannabis sativa의 씨[껍질(포엽과 외종피)이 완전히 제거된 씨앗]를 압착하여 얻은 오일이다.<BR/><BR/>※ 「마약류관리에 관한 법률」 제2조에 따른 마약류는 화장품 원료에 사용할 수 없습니다. <BR/>※ 화장품에 사용되는 성분의 안전과 적합성은 완제품(화장품) 책임판매업체의 책임이며, 화장품법에 따라야 합니다.",마인오일,B (식약처)
쇠비름추출물,Portulaca Oleracea Extract,90083-07-1,식약처 등재,,이 원료는 쇠비름 Portulaca oleracea의 전초에서 추출한 것이다.,마치현추출물,B (식약처)
구아바열매추출물,Psidium Guajava Fruit Extract,"90045-46-8,91770-12-6",식약처 등재,,이 원료는 구아바 Psidium guajava의 열매에서 추출한 것이다.,구아바추출물,B (식약처)
퀸즈랜드넛오일,Macadamia Integrifolia Seed Oil,"159518-86-2,438545-25-6 (generic)",식약처 등재,,이 원료는 퀸즈랜드넛 Macadamia integrifolia의 씨에서 얻은 고정유(불휘발성 오일)이다.,마카다미아씨오일,B (식약처)
마카다미아씨추출물,Macadamia Ternifolia Seed Extract,,식약처 등재,,이 원료는 마카다미아 Macadamia ternifolia의 씨에서 추출한 것이다.,,B (식약처)
마카뿌리추출물,Lepidium Meyenii Root Extract,,식약처 등재,,이 원료는 마카 Lepidium meyenii의 뿌리에서 추출한 것이다.,,B (식약처)
마테잎추출물,Ilex Paraguariensis Leaf Extract,"84082-59-7,73296-98-7",식약처 등재,,이 원료는 마테 Ilex paraguariensis의 잎에서 추출한 것이다.,,B (식약처)
마텔오일,Myrtus Communis Oil,8008-46-6,식약처 등재,,이 원료는 마텔 Myrtus communis에서 얻은 오일이다.,,B (식약처)
마텔잎수,Myrtus Communis Leaf Water,,식약처 등재,,이 원료는 마텔 Myrtus communis의 잎을 수증기 증류하여 얻은 수용액이다.,,B (식약처)
마텔추출물,Myrtus Communis Extract,84082-67-7,식약처 등재,,이 원료는 마텔 Myrtus communis의 전초에서 추출한 것이다.,,B (식약처)
초마황추출물,Ephedra Sinica Extract,85940-38-1,식약처 등재,,이 원료는 초마황 Ephedra sinica에서 추출한 것이다.,마황추출물,B (식약처)
만난,Mannan,"9036-88-8,51395-96-1",식약처 등재,,이 원료는 만노스의 중합체로 구성된 천연의 폴리사카라이드이다.,,B (식약처)
구아이아줄렌,Guaiazulene,489-84-9,식약처 등재,,이 원료는 다음의 구조를 갖는 착색제이다.,,B (식약처)
만니톨,Mannitol,"87-78-5,69-65-8",식약처 등재,,이 원료는 다음의 구조를 갖는 헥사하이드릭알코올이다.,,B (식약처)
필리핀오렌지껍질오일,"Citrus Nobilis (Mandarin Orange) Peel Oil,CITRUS NOBILIS PEEL OIL EXPRESSED","84929-38-4 (generic),8008-31-9 	,84696-35-5",식약처 등재,,이 원료는 필리핀오렌지(Mandarin Orange) Citrus nobilis의 껍질에서 얻은 오일이다.,만다린껍질오일,B (식약처)
필리핀오렌지껍질추출물,Citrus Nobilis (Mandarin Orange) Peel Extract,"84929-38-4 (generic),90063-83-5",식약처 등재,,이 원료는 필리핀오렌지(Mandarin Orange) Citrus nobilis의 껍질에서 추출한 것이다.,만다린껍질추출물,B (식약처)
필리핀오렌지수,Citrus Nobilis (Mandarin Orange) Water,84929-38-4 (generic),식약처 등재,,이 원료는 필리핀 오렌지(Mandarin Orange) Citrus nobilis을 수증기 증류하여 얻은 수용액이다.,만다린수,B (식약처)
필리핀오렌지추출물,Citrus Nobilis (Mandarin Orange) Fruit Extract,84929-38-4 (generic),식약처 등재,,이 원료는 필리핀 오렌지(Mandarin Orange) Citrus nobilis의 열매에서 추출한 것이다.,만다린추출물,B (식약처)
만델릭애씨드,Mandelic Acid,"17199-29-0,90-64-2",식약처 등재,,이 원료는 다음의 구조를 갖는 유기산이다.,,B (식약처)
만주곰슬껍질추출물,Pinus Tabuliformis Bark Extract,,식약처 등재,,이 원료는 만주곰슬 Pinus tabuliformis의 껍질에서 추출한 것이다.,만주곰솔껍질추출물,B (식약처)
튜베로즈추출물,Polianthes Tuberosa Extract,94334-35-7,식약처 등재,,이 원료는 튜베로즈 Polianthes tuberosa의 전초에서 추출한 것이다.,만향옥추출물,B (식약처)
말굽잔나비버섯추출물,Fomes Officinalis (Mushroom) Extract,94465-74-4,식약처 등재,,이 원료는 말굽잔나비버섯 Fomes officinalis에서 추출한 것이다.,,B (식약처)
말라카이트,Malachite,1319-53-5,식약처 등재,,이 원료는 주로 카퍼카보네이트하이드록사이드로 구성된 미네랄이다.,,B (식약처)
힙네아 무스키포르미스추출물,Hypnea Musciformis Extract,223751-71-1,식약처 등재,,이 원료는 홍조류의 일종인 Hypnea musciformis에서 추출한 것이다.,갈고리가시우무추출물,B (식약처)
구아하이드록시프로필트라이모늄클로라이드,Guar Hydroxypropyltrimonium Chloride,65497-29-2,식약처 등재,,이 원료는 하이드록시프로필구아의 4급 암모늄 유도체이다.,구아하이드록시프로필트리모늄클로라이드,B (식약처)
말라카이트추출물,Malachite Extract,,식약처 등재,,이 원료는 바위를 분쇄하여 하이드로클로릭애씨드로 용해하고 소듐바이카보네이트로 중화하여 얻은 말라카이트에서 추출한 것이다,,B (식약처)
말레익애씨드,Maleic Acid,"110-16-7,6915-18-0",식약처 등재,,이 원료는 다음의 구조를 갖는 시스 불포화 유기산이다.,,B (식약처)
당아욱꽃/잎/줄기추출물,Malva Sylvestris (Mallow) Flower/Leaf/Stem Extract,84082-57-5,식약처 등재,,"이 원료는 당아욱(Mallow) Malva sylvestris의 꽃, 잎 및 줄기에서 추출한 것이다.",말로우꽃/잎/줄기추출물,B (식약처)
당아욱잎가루,Malva Sylvestris (Mallow) Leaf Powder,,식약처 등재,,이 원료는 당아욱(Mallow) Malva sylvestris의 잎을 건조하여 가루로 한 것이다.,말로우잎가루,B (식약처)
당아욱잎추출물,Malva Sylvestris (Mallow) Leaf Extract,,식약처 등재,,이 원료는 당아욱(Mallow) Malva sylvestris의 잎에서 추출한 것이다.,말로우잎추출물,B (식약처)
당아욱추출물,Malva Sylvestris (Mallow) Extract,,식약처 등재,,이 원료는 당아욱(Mallow) Malva sylvestris의 전초에서 추출한 것이다.,말로우추출물,B (식약처)
말리에이티드콩오일,Maleated Soybean Oil,68648-66-8,식약처 등재,,"이 원료는 조작된 콩오일이며, 싸이클릭 디카복실릭 애씨드를 통해 치환되어 불포화된다. 일반적으로 다음의 구조를 갖는다 : R은 반응하지 않고 남은 콩오일이다.",,B (식약처)
아라비안자스민꽃왁스,Jasminum Sambac (Jasmine) Flower Wax,,식약처 등재,,이 원료는 아라비안자스민(Jasmine) Jasminum sambac 의 꽃에서 얻은 왁스이다.,말리화꽃왁스,B (식약처)
아라비안자스민꽃추출물,Jasminum Sambac (Jasmine) Flower Extract,91770-14-8,식약처 등재,,이 원료는 아라비안자스민(Jasmine) Jasminum sambac의 꽃에서 추출한 것이다.,말리화꽃추출물,B (식약처)
아라비안자스민잎세포추출물,Jasminum Sambac (Jasmine) Leaf Cell Extract,,식약처 등재,,이 원료는 아라비안자스민(Jasmine) Jasminum sambac의 잎 세포를 배양하여 추출한 것이다.,말리화잎세포추출물,B (식약처)
구절초추출물,Chrysanthemum Sibiricum Extract,,식약처 등재,,이 원료는 구절초 Chrysanthemum sibiricum(=Chrysantehmum zawadskii)의 전초에서 추출한 것이다.,구절초추출물,B (식약처)
말릭애씨드,Malic Acid,"636-61-3 (D-)	,6915-15-7 ,97-67-6 (L-)",식약처 등재,,이 원료는 다음의 구조를 갖는 유기산이다.,,B (식약처)
말미잘자포,Sea Anemone Nematocyst,,식약처 등재,,이 원료는 말미잘의 촉수에서 추출한 자포이다.,,B (식약처)
말토덱스트린,Maltodextrin,9050-36-6,식약처 등재,,이 원료는 전분의 가수분해로 얻은 사카라이드이다.,,B (식약처)
말토바이오닉애씨드,Maltobionic Acid,534-42-9,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,,B (식약처)
말토스,Maltose,"69-79-4,16984-36-4",식약처 등재,,이 원료는 다음의 구조를 갖는 당이다.,,B (식약처)
말토실사이클로덱스트린,Maltosyl Cyclodextrin,104723-60-6,식약처 등재,,이 원료는 말토오스와 사이클로덱스트린의 반응에 의해 얻은 물질이다.,,B (식약처)
말티톨,Maltitol,585-88-6 (D-),식약처 등재,,이 원료는 말토오스에 수소 첨가하여 얻은 디사카라이드폴리올이다.,,B (식약처)
말티톨라우레이트,Maltitol Laurate,75765-49-0,식약처 등재,,이 원료는 다음의 구조를 갖는 말티톨 및 라우릭애씨드의 에스터이다.,,B (식약처)
망가니즈글루코네이트,Manganese Gluconate,6485-39-8,식약처 등재,,이 원료는 다음의 구조를 갖는 글루코닉애씨드의 망가니즈염이다.,,B (식약처)
망가니즈다이옥사이드,Manganese Dioxide,1313-13-9,식약처 등재,,이 원료는 다음의 구조를 갖는 무기산화물이다.,망가니즈디옥사이드,B (식약처)
망가니즈바이올렛,"Manganese Violet,Ammonium Manganese(3+) Diphosphate,CI 77742",10101-66-3,식약처 등재,,이 원료는 주로 다음의 구조를 갖는 무기염이다.,,B (식약처)
망가니즈클로라이드,Manganese Chloride,"7773-01-05,11132-78-8",식약처 등재,,이 원료는 다음의 구조를 갖는 무기염이다.,,B (식약처)
망가니즈피씨에이,Manganese PCA,,식약처 등재,,이 원료는 피롤리돈카복실릭애씨드(PCA)의 망간염이다.,,B (식약처)
망고스틴껍질추출물,Garcinia Mangostana Peel Extract,90045-25-3,식약처 등재,,이 원료는 망고스틴 (Garcinia mangostana)의 껍질에서 추출한 것이다.,,B (식약처)
망고씨,Mangifera Indica (Mango) Seed,90063-86-8 (generic),식약처 등재,,이 원료는 망고 (Mangifera indica)에서 얻은 씨이다.,,B (식약처)
망고씨버터,Mangifera Indica (Mango) Seed Butter,90063-86-8 (generic),식약처 등재,,이 원료는 망고(Mango) Mangifera indica의 씨에서 얻은 지방이다.,망고씨드버터,B (식약처)
망고씨오일,Mangifera Indica (Mango) Seed Oil,90063-86-8 (generic),식약처 등재,,이 원료는 망고 (Mangifera indica)의 커넬을 압착하여 얻은 불휘발성 오일이다.,,B (식약처)
망고잎추출물,Mangifera Indica (Mango) Leaf Extract,90063-86-8 (generic),식약처 등재,,이 원료는 망고 (Mangifera indica)의 잎에서 추출한 것이다.,,B (식약처)
망고즙,Mangifera Indica (Mango) Juice,90063-86-8,식약처 등재,,이 원료는 망고 (Mangifera indica)의 즙이다.,,B (식약처)
구주물푸레잎추출물,Fraxinus Excelsior Leaf Extract,84625-28-5,식약처 등재,,이 원료는 구주물푸레 Fraxinus excelsior의 잎에서 추출한 것이다.,,B (식약처)
망고추출물,Mangifera Indica (Mango) Fruit Extract,90063-86-8,식약처 등재,,이 원료는 망고 (Mangifera indica)의 열매에서 추출한 것이다.,,B (식약처)
메도우스위트꽃추출물,Spiraea Ulmaria Flower Extract,84775-57-5,식약처 등재,,이 원료는 메도우스위트 Spiraea ulmaria(=Filipendula ulmaria)의 꽃에서 추출한 것이다.,매도우스위트꽃추출물,B (식약처)
메도우스위트잎추출물,Spiraea Ulmaria Leaf Extract,84775-57-5,식약처 등재,,이 원료는 메도우스위트 Spiraea ulmaria의 잎에서 추출한 것이다.,매도우스위트잎추출물,B (식약처)
메도우스위트추출물,Spiraea Ulmaria Extract,84775-57-5,식약처 등재,,이 원료는 메도우스위트 Spiraea ulmaria에서 추출한 것이다.,매도우스위트추출물,B (식약처)
매생이추출물,Capsosiphon Fulvescens Extract,,식약처 등재,,이 원료는 매생이 (Capsosiphon fulvescens)에서 추출한 것이다.,,B (식약처)
